byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
NICOLAS RAPOLD,0,2/11/17 4:18,The Keeping Room,"Review: In ‘The Keeping Room,’ 3 Women Under Siege in the Civil War",Read the New York Times Review of The Keeping Room,article,http://www.nytimes.com/2015/09/25/movies/review-in-the-keeping-room-3-women-under-siege-in-the-civil-war.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25KEEPINGROOM/25KEEPINGROOM-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,The British director Daniel Barber labors to impress in this Southern period thriller with two Union soldiers preying on two sisters and a slave.
NEIL GENZLINGER,0,2/11/17 4:18,The Green Inferno,"Review: In ‘The Green Inferno,’ Eli Roth Turns Collegians Into Prey",Read the New York Times Review of The Green Inferno,article,http://www.nytimes.com/2015/09/25/movies/review-in-the-green-inferno-eli-roth-turns-collegians-into-prey.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25GREENINFERNO/25GREENINFERNO-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"This film, set in the Peruvian Amazon, revisits the cannibal subgenre whose heyday was in the 1970s and ’80s."
NICOLAS RAPOLD,0,2/11/17 4:18,Sleepless in New York,"Review: In ‘Sleepless in New York,’ the Misery of the Lovelorn",Read the New York Times Review of Sleepless in New York,article,http://www.nytimes.com/2015/09/25/movies/review-in-sleepless-in-new-york-the-misery-of-the-lovelorn.html,,,140,https://static01.nyt.com/images/2015/09/25/arts/25SLEEPLESS/25SLEEPLESS-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"This documentary introduces three city dwellers who are reeling from breakups, with general commentary on lovesickness from a biological anthropologist."
JEANNETTE CATSOULIS,0,2/11/17 4:18,Pay the Ghost,"Review: In ‘Pay the Ghost,’ Nicolas Cage Is on a Mission",Read the New York Times Review of Pay the Ghost,article,http://www.nytimes.com/2015/09/25/movies/review-in-pay-the-ghost-nicolas-cage-is-on-a-mission.html,Not Rated,,140,https://static01.nyt.com/images/2015/09/25/arts/25PAYTHEGHOST/25PAYTHEGHOST-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"In this film, Mr. Cage’s character searches for his son after the boy is abducted at a Halloween carnival."
MANOHLA DARGIS,0,2/11/17 4:16,Misunderstood,"Review: In ‘Misunderstood,’ a Girl Seeks Relief From a Turbulent Household",Read the New York Times Review of Misunderstood,article,http://www.nytimes.com/2015/09/25/movies/review-in-misunderstood-a-girl-seeks-relief-from-a-turbulent-household.html,Not Rated,,140,https://static01.nyt.com/images/2015/09/25/arts/25MISUNDERSTOOD/25MISUNDERSTOOD-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,24/9/15,Asia Argento’s somewhat autobiographical film wavers between realism and surrealism.
GLENN KENNY,0,2/11/17 4:18,Hotel Transylvania 2,"Review: In ‘Hotel Transylvania 2,’ Dracula Yearns for a Little Monster of a Grandson",Read the New York Times Review of Hotel Transylvania 2,article,http://www.nytimes.com/2015/09/25/movies/review-in-hotel-transylvania-2-dracula-yearns-for-a-little-monster-of-a-grandson.html,PG,,140,https://static01.nyt.com/images/2015/09/25/arts/25HOTEL/25HOTEL-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"In this sequel, Dracula’s daughter has married a human and begotten a son, and her father worries that the boy may not be vampirish enough."
KEN JAWOROWSKI,0,2/11/17 4:16,Becoming Bulletproof,Review: ‘Becoming Bulletproof’ Follows a Group of Disabled Adults in a Film Within a Film,Read the New York Times Review of Becoming Bulletproof,article,http://www.nytimes.com/2015/09/25/movies/review-becoming-bulletproof-follows-a-group-of-disabled-adults-in-a-film-within-a-film.html,,,140,https://static01.nyt.com/images/2015/09/25/arts/25BECOME/25BECOME-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,24/9/15,"Besides the usual ordeals of moviemaking — missed lines, bad cues — Michael Barnett, the documentary’s director, looked at the cast and crew’s friendships and struggles."
STEPHEN HOLDEN,0,2/11/17 4:18,Ashby,Review: ‘Ashby’ Pairs a Retired C.I.A. Killer With a High School Nerd,Read the New York Times Review of Ashby,article,http://www.nytimes.com/2015/09/25/movies/review-ashby-pairs-a-retired-cia-killer-with-a-high-school-nerd.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25ASHBY/25ASHBY-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,Mickey Rourke stars as the former assassin and Nat Wolff as the student who wants to hear his life story in this semicomic film from Tony McNamara.
KEN JAWOROWSKI,0,2/11/17 4:18,A Brave Heart: The Lizzie Velasquez Story,"Review: ‘A Brave Heart: The Lizzie Velasquez Story,’ One Woman’s Push for Acceptance",Read the New York Times Review of A Brave Heart: The Lizzie Velasquez Story,article,http://www.nytimes.com/2015/09/25/movies/review-a-brave-heart-the-lizzie-velasquez-story-one-womans-push-for-acceptance.html,PG-13,,140,https://static01.nyt.com/images/2015/09/25/arts/25BRAVE/25BRAVE-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"Sara Hirsh Bordo, directing her first feature, keeps the scenes bright and fast-moving, but several important topics about Ms. Velasquez are are barely addressed."
STEPHEN HOLDEN,0,2/11/17 4:18,Stonewall,Review: ‘Stonewall’ Doesn’t Distinguish Between Facts and Fiction,Read the New York Times Review of Stonewall,article,http://www.nytimes.com/2015/09/25/movies/for-stonewall-an-indiana-born-avatar.html,R,,140,https://static01.nyt.com/images/2015/09/25/arts/25STONEWALL/25STONEWALL-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,25/9/15,24/9/15,"Roland Emmerich’s film wants to be as specific as possible in reconstructing the Stonewall riots, but it also wants to be sweeping social allegory."
